Your Facebook account has been hacked. Click here to secure your account.	spam
Congratulations! You've been selected for a free trial of our anti-aging cream. Click here to claim your offer.	spam
Your bank account has been compromised. Click here to update your security information.	spam
Your Apple ID has been locked. Click here to verify your account information.	spam
Your social security number has been compromised. Click here to update your information.	spam
Congratulations! You've been selected for a free trial of our weight loss supplement. Click here to claim your offer.	spam
Your PayPal account has been frozen. Click here to update your account information.	spam
Your car warranty is about to expire. Click here to renew your coverage.	spam
Make easy money from home. Click here to learn more.	spam
Your email account has been compromised. Click here to change your password and secure your account.	spam
Your Amazon account has been locked. Click here to update your payment information.	spam
Your computer has been hacked. Click here to download our software and protect your device.	spam
Congratulations! You've been selected for a free trip to the Bahamas. Click here to claim your prize.	spam
Your credit score has been updated. Click here to view your new score and improve it fast.	spam
Your Netflix account has been suspended. Click here to reactivate your account.	spam
Your package has been delayed. Please click on the link to track your shipment.	spam
Dear lucky winner, you've just won a million dollars! Please click on the link to claim your prize.	spam
Make $10,000 a week from home! Click here to learn how.	spam
Your computer has been infected with a virus. Click here to download our software to remove it.	spam
Urgent message from your bank: your account has been compromised. Please click on the link to update your account information.	spam
Your subscription to our music streaming service has been renewed. Enjoy unlimited access to your favorite tunes!	not spam
Thank you for your recent job application. We're impressed by your skills and experience and would like to schedule an interview.	not spam
Reminder: your gym membership is set to renew next month. If you'd like to cancel or make changes, please log in to your account.	not spam
Your prescription is ready for pickup at the pharmacy. Please bring your ID and insurance card with you.	not spam
Your credit card application has been approved. You should receive your new card within 7-10 business days.	not spam
Thank you for your recent hotel stay. We hope you enjoyed your stay and look forward to seeing you again soon.	not spam
Congratulations on your upcoming wedding! We'd like to offer you a special discount on our wedding planning services.	not spam
Your Amazon order has been delivered. Please log in to your account to confirm receipt and leave a review.	not spam
Thank you for your recent donation to our charity. Your support helps us make a difference in the lives of those in need.	not spam
Reminder: your car insurance payment is due on the 15th. Please log in to your account to make a payment.	not spam
Your Netflix subscription is about to expire. To avoid interruption of service, please update your payment information.	not spam
Your flight from JFK to LAX is scheduled for departure at 2 pm. Please arrive at the airport at least 2 hours before your flight.	not spam
Thank you for subscribing to our newsletter. Here's a sneak peek of what's coming up in our next issue.	not spam
Your monthly statement is now available online. Please log in to view your account activity and balance.	not spam
Dear valued customer, thank you for your loyalty. As a token of our appreciation, we're giving you a free gift with your next purchase.	not spam
Congratulations on your new job! We'd like to offer you a special discount on our career coaching services to help you succeed in your new role.	not spam
Thank you for your recent purchase with us. Your order has been shipped and should arrive within 3-5 business days.	not spam
Reminder: your appointment with Dr. Smith is tomorrow at 10 am. Please remember to bring your insurance card.	not spam
